Date,Open,High,Low,Close,Adj Close,Volume
2015-04-29,536.950012,560.900024,535.500000,552.900024,537.454590,1193519
2015-04-30,562.000000,582.000000,559.049988,567.849976,551.986877,1671228
2015-05-04,571.000000,576.500000,563.400024,568.299988,552.424316,500336
2015-05-05,570.000000,574.299988,562.650024,565.599976,549.799805,617444
2015-05-06,564.000000,565.599976,540.900024,543.650024,528.463013,919003
2015-05-07,543.000000,545.000000,523.450012,527.599976,512.861328,883584
2015-05-08,534.000000,549.150024,534.000000,542.349976,527.199219,683271
2015-05-11,546.000000,552.500000,543.299988,551.150024,535.753418,474165
2015-05-12,553.200012,554.000000,530.500000,532.750000,517.867493,1792731
2015-05-13,537.900024,564.400024,535.349976,559.099976,543.481262,1040790
2015-05-14,558.000000,559.200012,548.200012,556.900024,541.342834,661079
2015-05-15,558.000000,567.299988,558.000000,561.349976,545.668457,438312
2015-05-18,564.950012,569.700012,559.200012,567.500000,551.646667,461856
2015-05-19,567.000000,571.000000,560.000000,563.049988,547.320984,830638
2015-05-20,563.000000,566.650024,557.200012,558.599976,542.995239,398320
2015-05-21,560.900024,572.700012,560.000000,570.849976,554.903076,855603
2015-05-22,572.000000,576.299988,564.000000,569.700012,553.785217,768108
2015-05-25,568.000000,569.650024,560.000000,562.049988,546.348938,457067
2015-05-26,560.049988,566.450012,559.049988,565.099976,549.313782,340770
2015-05-27,561.000000,579.299988,560.000000,577.849976,561.707581,511285
2015-05-28,577.849976,585.900024,572.299988,575.200012,559.131592,484732
2015-05-29,575.099976,587.000000,575.099976,585.250000,568.900818,338515
2015-06-01,586.000000,589.450012,576.849976,578.450012,562.290833,301760
2015-06-02,581.500000,582.750000,549.000000,554.150024,538.669617,1757063
2015-06-03,554.799988,554.799988,538.500000,550.650024,535.267395,1501205
2015-06-04,559.500000,560.299988,545.799988,556.049988,540.516541,654419
2015-06-05,557.000000,557.349976,546.000000,548.349976,533.031616,397493
2015-06-08,548.049988,556.950012,544.000000,553.400024,537.940613,300316
2015-06-09,553.500000,564.000000,550.599976,558.349976,542.752258,514799
